phi,mu[1],mu[2],mu[3],mu[4],mu[5],mu[6],mu[7],mu[8],mu[9],mu[10],mu[11],mu[12],mu[13],mu[14],mu[15],mu[16],mu[17],mu[18],mu[19],mu[20]
0.691947951,0.083529889,1.02E-09,0.031346836,0.69012971,0.012789131,0.008930136,0.000551528,0.001453354,0.000177811,1.471118636,1.87E-31,7.81E-09,4.933568908,0.125081199,3.19E-05,3.063829719,0.022958412,1.736531118,2.249433184,0.116823958
1.202357146,0.096434935,1.39E-11,1.08E-05,0.491607351,1.40E-08,3.17E-11,0.003765404,0.000688718,0.014586939,0.859622084,1.25E-26,9.32E-07,5.800933769,0.092243925,5.59E-07,3.867331451,3.25E-05,2.269356598,3.193635908,0.038696596
0.848052521,0.092071222,6.10E-16,0.031406637,0.64338452,2.01E-24,6.43E-09,7.51E-05,0.001387012,0.000687198,1.047549529,7.19E-46,4.53E-12,7.904829037,0.115418562,1.62E-06,2.981988266,4.24E-40,1.412692301,2.926228326,0.119770065
0.895094601,0.100698984,2.09E-08,1.54E-06,0.601227103,1.38E-11,9.34E-11,0.011445624,0.036923256,0.009822768,0.96077097,3.59E-10,2.40E-06,8.28861567,0.084401303,0.002472366,4.263667378,0.306746122,1.989202252,2.721820024,0.022001584
0.973101193,0.076420081,7.03E-10,0.024335245,0.598831497,4.60E-15,2.11E-17,4.09E-05,0.000334743,0.002812116,0.740533066,3.33E-19,3.32E-08,6.003877308,0.12254811,0.047298844,3.314669377,2.89E-16,1.758354982,3.604781613,0.153689836
0.991068672,0.107517782,1.53E-19,2.74E-05,0.639548314,2.42E-07,1.09E-07,0.000483299,0.000897962,0.008314342,1.154711384,1.58E-07,2.44E-17,6.01344591,0.092901742,0.006521593,3.863090753,1.39E-05,1.772424876,2.163464183,0.023552474
0.859872987,0.094669786,0.003904545,0.015405413,0.666678945,0.044659793,2.06E-05,0.000774038,0.02504373,0.00081283,0.923860063,1.64E-07,6.99E-35,6.24707616,0.102704922,7.53E-23,3.844916789,0.000339187,2.034061317,3.303864573,0.004372719
1.076025009,0.064956758,0.003025655,0.01579977,0.572284588,9.67E-08,0.001357732,0.008510053,0.002676994,0.030185958,1.040498029,0.150373404,6.95E-21,5.597771217,0.103576282,1.27E-21,3.360220419,0.00552217,1.542929037,2.341198089,0.124447841
1.031314558,0.064634353,0.007169466,0.00694779,0.558953218,1.12E-07,0.007504194,0.021741377,0.002956723,0.012945316,1.017907663,0.073820015,2.06E-21,5.613888996,0.106237632,6.15E-24,3.503777638,0.069468109,1.471689435,2.328772332,0.116763985
0.874601796,0.109445991,2.56E-05,0.004261739,0.736950443,3.41E-12,0.018834069,5.69E-06,0.83858754,7.17E-06,0.833663738,0.001058681,1.01E-12,6.850056565,0.064228388,2.14E-14,3.464921767,1.23E-13,1.795768597,2.578999465,0.032396876
0.954119613,0.10441842,6.76E-08,0.002518116,0.699622826,0.070653921,0.000485251,4.53E-05,0.000579208,0.00012367,1.278229262,0.000367917,3.58E-07,5.59074119,0.079936424,1.50E-25,3.166697299,1.32E-09,1.436754092,3.369570481,0.049581132
0.868912474,0.085139535,9.21E-08,0.006215337,0.619075324,9.19E-14,3.66E-16,0.018619202,0.036604782,9.51E-07,0.646891989,0.00031784,1.06E-10,5.51983001,0.118561806,2.85E-30,3.475739911,9.20E-10,1.318316585,2.786781635,0.086554125
